                                   Expected
      From         To  Frequency  Frequency
========== ========== ========== ==========
  -5.00000   -4.75000          0          0
  -4.75000   -4.50000          0          0
  -4.50000   -4.25000          0          1
  -4.25000   -4.00000          2          2
  -4.00000   -3.75000          4          5
  -3.75000   -3.50000         11         13
  -3.50000   -3.25000         22         31
  -3.25000   -3.00000         54         70
  -3.00000   -2.75000        153        147
  -2.75000   -2.50000        263        291
  -2.50000   -2.25000        540        541
  -2.25000   -2.00000        997        947
  -2.00000   -1.75000       1550       1558
  -1.75000   -1.50000       2370       2407
  -1.50000   -1.25000       3560       3496
  -1.25000   -1.00000       4822       4770
  -1.00000   -0.75000       6468       6117
  -0.75000   -0.50000       7182       7372
  -0.50000   -0.25000       8121       8348
  -0.25000    0.00000       9027       8884
   0.00000    0.25000       8708       8884
   0.25000    0.50000       8363       8348
   0.50000    0.75000       7459       7372
   0.75000    1.00000       5923       6117
   1.00000    1.25000       4662       4770
   1.25000    1.50000       3649       3496
   1.50000    1.75000       2392       2407
   1.75000    2.00000       1597       1558
   2.00000    2.25000       1004        947
   2.25000    2.50000        548        541
   2.50000    2.75000        252        291
   2.75000    3.00000        148        147
   3.00000    3.25000         91         70
   3.25000    3.50000         27         31
   3.50000    3.75000         16         13
   3.75000    4.00000          8          5
   4.00000    4.25000          4          2
   4.25000    4.50000          0          1
   4.50000    4.75000          2          0
   4.75000    5.00000          1          0

Data outside histogram range is put in first or last bucket.
